2019-04-02 07:57:57 1554188277.766582 [message] [shd-tgen-main.c:83] [_tgenmain_run] Initializing traffic generator on host bridge-measure process id 24698
2019-04-02 07:57:57 1554188277.766783 [message] [shd-tgen-main.c:114] [_tgenmain_run] Set SIG_IGN for signal SIGPIPE
2019-04-02 07:57:57 1554188277.767126 [message] [shd-tgen-graph.c:757] [tgengraph_new] successfully loaded graphml file '/root/Measurements/onionperf-data/tgen-server/tgen.graphml.xml' and validated actions: graph is weakly connected with 1 cluster, 1 vertex, and 0 edges
2019-04-02 08:00:02 1554188402.697371 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=196646 payload-bytes-write=196608/5242880 (3.75%)
2019-04-02 08:00:03 1554188403.587443 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=229414 payload-bytes-write=229376/5242880 (4.38%)
2019-04-02 08:00:04 1554188404.449447 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=262182 payload-bytes-write=262144/5242880 (5.00%)
2019-04-02 08:00:05 1554188405.186322 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=294950 payload-bytes-write=294912/5242880 (5.62%)
2019-04-02 08:00:06 1554188406.055874 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=327718 payload-bytes-write=327680/5242880 (6.25%)
2019-04-02 08:00:06 1554188406.593176 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=360486 payload-bytes-write=360448/5242880 (6.88%)
2019-04-02 08:00:07 1554188407.015129 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=393254 payload-bytes-write=393216/5242880 (7.50%)
2019-04-02 08:00:07 1554188407.617571 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=426022 payload-bytes-write=425984/5242880 (8.12%)
2019-04-02 08:00:08 1554188408.116485 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=458790 payload-bytes-write=458752/5242880 (8.75%)
2019-04-02 08:00:08 1554188408.583341 [info] [shd-tgen-transfer.c:1538] [_tgentransfer_log] [transfer-status] transport TCP,8,NULL:137.50.19.20:8080,NULL:0.0.0.0:0,wholesomeserver.media.mit.edu:18.85.192.253:36000,state=SUCCESS,error=NONE transfer transfer5m,2,bridge-measure,PUT,5242880,bridge-measure,1,state=PAYLOAD,error=NONE total-bytes-read=61 total-bytes-write=491558 payload-bytes-write=491520/5242880 (9.38%)
